source_id,source_name,source_type,owner_or_provider,period_covered,as_of_date,retrieved_at,file_tab_page_url_or_location,source_rank,freshness_status,notes,trade_authority,route_id,statement,status
SRC-CNINFO-605090,CNINFO periodic reports for 605090.SH,filing,CNINFO,20240101-20260718,20260718,2026-07-18T12:09:23+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=77; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-605090-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 605090.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:09:35+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=31; cols=319; elapsed=11.4947; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-605090-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 605090.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:09:45+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=33; cols=203; elapsed=10.4369; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-605090-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 605090.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:09:53+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=33; cols=254; elapsed=7.7752; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-605090-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 605090.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:09:56+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=31; cols=147; elapsed=2.5853; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-605090-INCOME_STATEMENT,SINA_STATEMENTS income_statement 605090.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:09:57+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=33; cols=83; elapsed=1.0167; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-605090-CASH_FLOW,SINA_STATEMENTS cash_flow 605090.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:10:00+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=33; cols=71; elapsed=2.403; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-000333,CNINFO periodic reports for 000333.SZ,filing,CNINFO,20240101-20260718,20260718,2026-07-18T12:09:23+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=73; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-000333-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 000333.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:09:44+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=78; cols=319; elapsed=20.9168; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-000333-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 000333.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:10:02+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=78; cols=203; elapsed=17.8407; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
