metric_id,sector_profile,denominator_resolved,denominator_decision_grade,row_count,authority,trade_authority
VAL_EARNINGS_YIELD_TTM,BANK,True,True,42,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EARNINGS_YIELD_TTM,GENERAL_NON_FINANCIAL,False,False,26,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EARNINGS_YIELD_TTM,GENERAL_NON_FINANCIAL,True,False,1487,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EARNINGS_YIELD_TTM,GENERAL_NON_FINANCIAL,True,True,3589,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EARNINGS_YIELD_TTM,INSURANCE,True,True,5,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EARNINGS_YIELD_TTM,SECURITIES_AND_BROKERAGE,True,True,50,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EARNINGS_YIELD_TTM,UNRESOLVED,False,False,329,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_OPERATING_INCOME_TTM,BANK,True,False,42,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_OPERATING_INCOME_TTM,GENERAL_NON_FINANCIAL,False,False,4085,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_OPERATING_INCOME_TTM,GENERAL_NON_FINANCIAL,True,False,267,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_OPERATING_INCOME_TTM,GENERAL_NON_FINANCIAL,True,True,750,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_OPERATING_INCOME_TTM,INSURANCE,True,False,5,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_OPERATING_INCOME_TTM,SECURITIES_AND_BROKERAGE,True,False,50,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_OPERATING_INCOME_TTM,UNRESOLVED,False,False,329,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_SALES_TTM,BANK,True,False,42,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_EV_SALES_TTM,GENERAL_NON_FINANCIAL,False,False,4085,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
